region,code,regex
加纳-移动-GT-Vodafone(Ghana)20,233,^0?20\d{7}$
加纳-移动-Glo23,233,^0?23\d{7}$
加纳-移动-MTN24,233,^0?24\d{7}$
加纳-移动-Airtel26,233,^0?26\d{7}$
加纳-移动-Millicom(Tigo)27,233,^0?27\d{7}$
加纳-移动-KasapaTelecomLtd28,233,^0?28\d{7}$
加纳-移动-GT-Vodafone(Ghana)50,233,^0?50\d{7}$
加纳-移动-MTN54,233,^0?54\d{7}$
加纳-移动-Millicom(Tigo)57,233,^0?57\d{7}$
加纳-GreaterAccra-Accra-固定电话,233,^0?302\d{6}$
加纳-GreaterAccra-Tema-固定电话,233,^0?303[0-46-9]\d{6}$
加纳-GreaterAccra-Ada-固定电话,233,^0?3035\d{5}$
加纳-GreaterAccra-未指定城市-固定电话,233,^0?307\d{6}$
加纳-Western-Takoradi-固定电话,233,^0?3120\d{5}$
加纳-Western-Axim-固定电话,233,^0?3121\d{5}$
加纳-Western-Elubo-固定电话,233,^0?3122\d{5}$
加纳-Western-Tarkwa-固定电话,233,^0?3123\d{5}$
加纳-Western-Asankragwa-固定电话,233,^0?3124\d{5}$
加纳-Western-Samreboi-固定电话,233,^0?3125\d{5}$
加纳-Western-Enchi-固定电话,233,^0?3126\d{5}$
加纳-Western-未指定城市-固定电话,233,^0?317\d{6}$
加纳-Ashanti-Kumasi-固定电话,233,^0?3220\d{5}$
加纳-Ashanti-Konongo-固定电话,233,^0?3221\d{5}$
加纳-Ashanti-AshantiMampong-固定电话,233,^0?3222\d{5}$
加纳-Ashanti-Ejura-固定电话,233,^0?3223\d{5}$
加纳-Ashanti-Bekwai-固定电话,233,^0?3224\d{5}$
加纳-Ashanti-Obuasi-固定电话,233,^0?3225\d{5}$
加纳-Ashanti-未指定城市-固定电话,233,^0?327\d{6}$
加纳-Central-Winneba-固定电话,233,^0?3320\d{5}$
加纳-Central-Swedru-固定电话,233,^0?3321\d{5}$
加纳-Central-CapeCoast-固定电话,233,^0?3322\d{5}$
加纳-Central-Dunkwa-固定电话,233,^0?3323\d{5}$
加纳-Central-未指定城市-固定电话,233,^0?337\d{6}$
加纳-Eastern-Akosombo-固定电话,233,^0?3420\d{5}$
